id;numero_vuelo;origen;destino;fecha_salida;fecha_llegada
1;fundraising until notwithstanding;astonishing willow cheerful;brook;2025-04-05T14:11:27;2025-04-05T06:09:51
2;yippee reiterate;requirement ick dearest;elver while mature;2025-04-05T09:09:25;2025-04-05T02:32:52
3;vamoose;forenenst;ignorant train closed;2025-04-05T09:44:18;2025-04-05T09:22:15
4;fatally;fragrant;chunder yawn since;2025-04-05T18:03:46;2025-04-05T17:20:09
5;how now catalog;eek known powerfully;agreement;2025-04-05T10:10:54;2025-04-05T02:50:37
6;as unlawful negative;flawed seldom;instead;2025-04-05T01:09:33;2025-04-05T19:43:20
7;guide coolly gah;unscramble;meanwhile until;2025-04-05T05:32:40;2025-04-05T17:13:03
8;soap;gerbil ick before;without;2025-04-05T20:23:41;2025-04-05T14:29:34
9;save justly;crossly graceful without;reflate sheathe scorn;2025-04-05T08:00:04;2025-04-05T04:40:19
10;an unless;lest marketplace under;kindly keenly decision;2025-04-05T12:53:26;2025-04-05T11:08:38
